Participant, Catch ball,Hit ball, Not received,received,Sum,Success rat,not over,out,success,Sum,Success rat
1,13,79,92,85.87%,6,2,70,78,89.74%
2,3,95,98,96.94%,2,1,96,99,96.97%
3,9,82,91,90.11%,6,3,81,90,90.00%
4,10,85,95,89.47%,6,2,77,85,90.59%
5,6,88,94,93.61%,4,2,96,102,94.11%
6,8,87,95,91.58%,6,3,83,92,90.22%
7,3,103,106,97.17%,3,1,102,106,96.23%
8,8,80,88,90.91%,7,3,75,85,88.24%
9,10,94,104,90.38%,6,8,88,102,86.27%
10,11,78,89,87.64%,6,4,85,95,89.47%
sum,81,871,952,91.49%,52,29,853,934,91.33%
