Participant, Catch ball,Hit ball, Not received,received,Sum,Success rat,not over,out,success,Sum,Success rat
1,3,98,102,96.08%,13,4,79,96,82.29%
2,3,117,120,97.5%,14,6,95,115,82.61%
3,2,45,47,95.74%,11,16,28,55,50.91%
4,3,105,108,97.22%,10,3,88,101,87.13%
5,2,115,117,98.29%,12,5,99,116,85.34%
6,2,95,97,97.34%,5,8,86,99,86.87%
7,4,101,105,96.19%,11,5,82,98,83.67%
8,3,57,60,95%,11,2,55,68,80.88%
9,2,54,56,96.43%,18,2,37,57,64.91%
10,2,57,59,96.61%,24,6,41,71,57.74%
sum,23,746,769,97.01%,129,57,690,876,78.77%
